9.026339650154113770e-01 3.047697246074676514e-01 9.849259257316589355e-01 4.790420457720756531e-02 2.112537145614624023e+01
9.794300198554992676e-01 6.763841211795806885e-02 9.894207715988159180e-01 3.498020395636558533e-02 3.382182836532592773e+00
9.851933717727661133e-01 4.827926680445671082e-02 9.889949560165405273e-01 3.940711170434951782e-02 3.416095495223999023e+00
9.876037240028381348e-01 3.943465650081634521e-02 9.902594685554504395e-01 3.792385011911392212e-02 3.231672525405883789e+00
9.891037940979003906e-01 3.528928756713867188e-02 9.906727075576782227e-01 4.130036383867263794e-02 3.264655351638793945e+00
9.901512861251831055e-01 3.190006315708160400e-02 9.908730387687683105e-01 3.998954594135284424e-02 3.244313001632690430e+00
9.907374978065490723e-01 3.056372888386249542e-02 9.907602667808532715e-01 4.020857438445091248e-02 3.340970754623413086e+00
9.914156198501586914e-01 2.842122316360473633e-02 9.909229278564453125e-01 4.506570845842361450e-02 3.373353958129882812e+00
9.913550615310668945e-01 2.853403985500335693e-02 9.913361668586730957e-01 3.873039409518241882e-02 3.346844673156738281e+00
9.918870925903320312e-01 2.742873504757881165e-02 9.904473423957824707e-01 5.430628731846809387e-02 3.246476411819458008e+00
9.922960400581359863e-01 2.642567828297615051e-02 9.908855557441711426e-01 4.784946888685226440e-02 3.313041687011718750e+00
9.923961758613586426e-01 2.585203945636749268e-02 9.905974268913269043e-01 5.428234487771987915e-02 3.309912204742431641e+00
9.926339983940124512e-01 2.541949041187763214e-02 9.911233782768249512e-01 5.895960703492164612e-02 3.281988382339477539e+00
9.928280115127563477e-01 2.568437904119491577e-02 9.906099438667297363e-01 6.030305847525596619e-02 3.569312810897827148e+00
9.927259087562561035e-01 2.640561200678348541e-02 9.903596639633178711e-01 6.379874795675277710e-02 3.360326766967773438e+00
9.929636716842651367e-01 2.495391294360160828e-02 9.901592731475830078e-01 7.309176027774810791e-02 3.261104583740234375e+00
